a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0.806451613,0.76516129,0.734193548,0.865806452,0.708387097,0.749677419,0.744516129,0.716129032,0.705806452,0.76,0.403870968,0.349677419,0.409032258,0.329032258,0.36516129,0.36,0.349677419,0.388387097,0.298064516,0.437419355,0.68516129,0.721290323,0.569032258,0.790967742,0.651612903,0.775483871,0.762580645,0.584516129,0.736774194,0.579354839
0.806451613,0.68,0.68516129,0.809032258,0.67483871,0.726451613,0.710967742,0.698064516,0.625806452,0.718709677,0.403870968,0.349677419,0.396129032,0.329032258,0.36516129,0.36,0.344516129,0.388387097,0.300645161,0.43483871,0.587096774,0.695483871,0.507096774,0.762580645,0.633548387,0.741935484,0.734193548,0.522580645,0.705806452,0.543225806
0.76516129,0.59483871,0.602580645,0.723870968,0.630967742,0.667096774,0.659354839,0.669677419,0.561290323,0.638709677,0.398709677,0.349677419,0.390967742,0.329032258,0.357419355,0.357419355,0.339354839,0.385806452,0.300645161,0.429677419,0.509677419,0.664516129,0.421935484,0.734193548,0.584516129,0.708387097,0.705806452,0.458064516,0.643870968,0.486451613
0.68,0.486451613,0.538064516,0.630967742,0.576774194,0.59483871,0.6,0.623225806,0.499354839,0.550967742,0.393548387,0.349677419,0.385806452,0.329032258,0.357419355,0.362580645,0.339354839,0.378064516,0.308387097,0.429677419,0.44,0.625806452,0.378064516,0.700645161,0.548387097,0.669677419,0.672258065,0.393548387,0.576774194,0.44
0.615483871,0.421935484,0.486451613,0.532903226,0.543225806,0.522580645,0.532903226,0.587096774,0.432258065,0.489032258,0.388387097,0.349677419,0.378064516,0.329032258,0.357419355,0.36,0.336774194,0.378064516,0.308387097,0.427096774,0.378064516,0.587096774,0.310967742,0.646451613,0.509677419,0.625806452,0.628387097,0.334193548,0.527741935,0.401290323
0.530322581,0.36516129,0.447741935,0.429677419,0.522580645,0.437419355,0.486451613,0.545806452,0.367741935,0.450322581,0.388387097,0.349677419,0.372903226,0.329032258,0.344516129,0.36,0.334193548,0.378064516,0.303225806,0.429677419,0.331612903,0.530322581,0.269677419,0.579354839,0.468387097,0.579354839,0.592258065,0.272258065,0.455483871,0.362580645
0.465806452,0.316129032,0.388387097,0.383225806,0.496774194,0.401290323,0.44,0.52516129,0.316129032,0.414193548,0.380645161,0.349677419,0.372903226,0.329032258,0.341935484,0.36,0.334193548,0.372903226,0.303225806,0.429677419,0.308387097,0.491612903,0.254193548,0.543225806,0.421935484,0.522580645,0.550967742,0.254193548,0.414193548,0.344516129
0.398709677,0.246451613,0.35483871,0.316129032,0.465806452,0.36516129,0.421935484,0.507096774,0.28,0.367741935,0.380645161,0.35483871,0.36516129,0.329032258,0.341935484,0.357419355,0.334193548,0.36516129,0.303225806,0.414193548,0.28,0.465806452,0.238709677,0.486451613,0.398709677,0.489032258,0.496774194,0.228387097,0.362580645,0.318709677
0.357419355,0.212903226,0.336774194,0.269677419,0.44,0.36516129,0.393548387,0.501935484,0.256774194,0.339354839,0.375483871,0.352258065,0.362580645,0.329032258,0.341935484,0.36516129,0.334193548,0.372903226,0.308387097,0.414193548,0.261935484,0.427096774,0.220645161,0.450322581,0.36,0.465806452,0.452903226,0.19483871,0.336774194,0.295483871
0.310967742,0.184516129,0.329032258,0.189677419,0.424516129,0.349677419,0.383225806,0.501935484,0.236129032,0.303225806,0.36516129,0.339354839,0.357419355,0.329032258,0.339354839,0.36516129,0.334193548,0.36516129,0.308387097,0.414193548,0.249032258,0.383225806,0.220645161,0.411612903,0.321290323,0.421935484,0.416774194,0.176774194,0.264516129,0.282580645
0.300645161,0.153548387,0.329032258,0.166451613,0.409032258,0.36,0.372903226,0.507096774,0.233548387,0.290322581,0.36,0.341935484,0.339354839,0.316129032,0.339354839,0.36,0.334193548,0.362580645,0.308387097,0.409032258,0.241290323,0.362580645,0.218064516,0.385806452,0.267096774,0.383225806,0.383225806,0.166451613,0.264516129,0.261935484
0.308387097,0.145806452,0.339354839,0.140645161,0.403870968,0.390967742,0.370322581,0.51483871,0.233548387,0.287741935,0.36,0.341935484,0.336774194,0.326451613,0.339354839,0.36516129,0.331612903,0.362580645,0.316129032,0.401290323,0.249032258,0.331612903,0.218064516,0.339354839,0.254193548,0.362580645,0.352258065,0.161290323,0.236129032,0.254193548
0.316129032,0.145806452,0.357419355,0.122580645,0.406451613,0.411612903,0.367741935,0.538064516,0.256774194,0.287741935,0.357419355,0.357419355,0.334193548,0.326451613,0.331612903,0.36,0.331612903,0.36,0.316129032,0.401290323,0.256774194,0.305806452,0.228387097,0.313548387,0.249032258,0.36,0.336774194,0.161290323,0.218064516,0.249032258
0.357419355,0.150967742,0.378064516,0.109677419,0.409032258,0.470967742,0.367741935,0.561290323,0.28,0.290322581,0.35483871,0.357419355,0.329032258,0.336774194,0.323870968,0.357419355,0.331612903,0.36,0.313548387,0.388387097,0.267096774,0.277419355,0.241290323,0.298064516,0.238709677,0.339354839,0.326451613,0.171612903,0.223225806,0.241290323
0.393548387,0.169032258,0.429677419,0.112258065,0.43483871,0.509677419,0.383225806,0.589677419,0.310967742,0.310967742,0.341935484,0.357419355,0.326451613,0.336774194,0.323870968,0.362580645,0.329032258,0.352258065,0.313548387,0.383225806,0.292903226,0.27483871,0.251612903,0.28,0.233548387,0.316129032,0.316129032,0.179354839,0.225806452,0.241290323
0.473548387,0.220645161,0.486451613,0.12516129,0.437419355,0.574193548,0.398709677,0.610322581,0.347096774,0.326451613,0.341935484,0.36,0.318709677,0.336774194,0.323870968,0.36516129,0.323870968,0.352258065,0.313548387,0.383225806,0.329032258,0.27483871,0.282580645,0.267096774,0.223225806,0.310967742,0.305806452,0.197419355,0.223225806,0.241290323
0.512258065,0.287741935,0.527741935,0.166451613,0.458064516,0.636129032,0.416774194,0.636129032,0.383225806,0.35483871,0.336774194,0.36,0.318709677,0.336774194,0.323870968,0.36516129,0.334193548,0.352258065,0.313548387,0.375483871,0.36516129,0.27483871,0.318709677,0.264516129,0.223225806,0.326451613,0.305806452,0.228387097,0.233548387,0.259354839
0.566451613,0.383225806,0.584516129,0.212903226,0.489032258,0.698064516,0.450322581,0.672258065,0.424516129,0.372903226,0.323870968,0.36,0.313548387,0.318709677,0.321290323,0.35483871,0.329032258,0.349677419,0.318709677,0.375483871,0.398709677,0.269677419,0.370322581,0.223225806,0.223225806,0.329032258,0.303225806,0.254193548,0.233548387,0.27483871
0.636129032,0.452903226,0.623225806,0.264516129,0.530322581,0.736774194,0.486451613,0.703225806,0.478709677,0.406451613,0.323870968,0.36,0.310967742,0.318709677,0.321290323,0.341935484,0.313548387,0.349677419,0.321290323,0.370322581,0.494193548,0.272258065,0.372903226,0.218064516,0.223225806,0.329032258,0.303225806,0.282580645,0.251612903,0.295483871
0.669677419,0.509677419,0.649032258,0.372903226,0.566451613,0.749677419,0.522580645,0.718709677,0.52516129,0.455483871,0.329032258,0.36,0.305806452,0.318709677,0.316129032,0.336774194,0.310967742,0.336774194,0.323870968,0.362580645,0.538064516,0.272258065,0.349677419,0.20516129,0.223225806,0.347096774,0.305806452,0.303225806,0.251612903,0.323870968
0.726451613,0.620645161,0.682580645,0.421935484,0.60516129,0.75483871,0.556129032,0.729032258,0.569032258,0.494193548,0.334193548,0.347096774,0.305806452,0.323870968,0.308387097,0.344516129,0.308387097,0.341935484,0.323870968,0.352258065,0.602580645,0.272258065,0.349677419,0.20516129,0.233548387,0.362580645,0.305806452,0.352258065,0.261935484,0.357419355
0.775483871,0.638709677,0.705806452,0.450322581,0.641290323,0.762580645,0.610322581,0.731612903,0.610322581,0.553548387,0.370322581,0.347096774,0.326451613,0.347096774,0.308387097,0.388387097,0.308387097,0.341935484,0.326451613,0.349677419,0.628387097,0.287741935,0.403870968,0.218064516,0.236129032,0.390967742,0.318709677,0.403870968,0.28,0.393548387
0.811612903,0.667096774,0.741935484,0.52516129,0.669677419,0.752258065,0.649032258,0.731612903,0.649032258,0.597419355,0.401290323,0.341935484,0.388387097,0.375483871,0.308387097,0.468387097,0.341935484,0.344516129,0.334193548,0.347096774,0.669677419,0.303225806,0.460645161,0.218064516,0.246451613,0.416774194,0.326451613,0.463225806,0.290322581,0.421935484
0.821935484,0.718709677,0.736774194,0.6,0.692903226,0.752258065,0.682580645,0.731612903,0.672258065,0.656774194,0.44,0.347096774,0.437419355,0.416774194,0.308387097,0.517419355,0.393548387,0.341935484,0.326451613,0.341935484,0.708387097,0.323870968,0.509677419,0.218064516,0.251612903,0.450322581,0.331612903,0.504516129,0.300645161,0.452903226
0.829677419,0.76,0.726451613,0.67483871,0.700645161,0.752258065,0.703225806,0.731612903,0.692903226,0.710967742,0.470967742,0.352258065,0.491612903,0.44,0.329032258,0.574193548,0.429677419,0.349677419,0.339354839,0.341935484,0.723870968,0.352258065,0.571612903,0.225806452,0.259354839,0.52,0.35483871,0.550967742,0.334193548,0.491612903
0.842580645,0.772903226,0.744516129,0.757419355,0.708387097,0.752258065,0.718709677,0.721290323,0.703225806,0.757419355,0.52,0.362580645,0.538064516,0.455483871,0.352258065,0.625806452,0.458064516,0.388387097,0.336774194,0.339354839,0.741935484,0.401290323,0.602580645,0.238709677,0.27483871,0.569032258,0.378064516,0.581935484,0.380645161,0.52516129
0.83483871,0.775483871,0.739354839,0.790967742,0.710967742,0.744516129,0.752258065,0.721290323,0.713548387,0.785806452,0.532903226,0.380645161,0.579354839,0.455483871,0.383225806,0.628387097,0.507096774,0.447741935,0.310967742,0.344516129,,0.455483871,0.636129032,0.254193548,0.303225806,0.628387097,0.398709677,0.638709677,0.401290323,0.545806452
0.837419355,0.775483871,0.731612903,0.821935484,0.710967742,0.744516129,0.76,0.721290323,0.716129032,0.785806452,0.574193548,0.416774194,0.579354839,0.455483871,0.424516129,0.628387097,0.540645161,0.486451613,0.310967742,0.375483871,,0.507096774,0.661935484,0.298064516,0.336774194,0.68,0.424516129,0.687741935,0.401290323,0.571612903
0.83483871,0.775483871,0.729032258,0.847741935,0.705806452,0.747096774,0.76,0.721290323,0.716129032,0.785806452,0.607741935,0.473548387,0.59483871,0.450322581,0.470967742,0.628387097,0.550967742,0.51483871,0.308387097,0.424516129,,0.509677419,0.68516129,0.36516129,0.372903226,0.731612903,0.447741935,0.703225806,0.44,0.607741935
0.821935484,0.775483871,0.731612903,0.858064516,0.708387097,0.76,0.762580645,0.721290323,0.710967742,0.785806452,0.618064516,0.51483871,0.597419355,0.442580645,0.504516129,0.628387097,0.553548387,0.545806452,0.329032258,0.458064516,,0.481290323,0.700645161,0.43483871,0.421935484,0.775483871,0.489032258,0.731612903,0.494193548,0.641290323
0.821935484,0.778064516,0.731612903,0.865806452,0.677419355,0.76,0.76,0.723870968,0.710967742,0.772903226,0.618064516,0.558709677,0.59483871,0.419354839,0.51483871,0.610322581,0.561290323,0.561290323,0.36516129,0.507096774,,0.481290323,0.736774194,0.483870968,0.450322581,0.819354839,0.51483871,0.752258065,0.530322581,0.672258065
0.816774194,0.780645161,0.726451613,0.865806452,0.682580645,0.76516129,0.76,0.741935484,0.705806452,0.767741935,0.615483871,0.576774194,0.574193548,0.396129032,0.532903226,0.59483871,0.550967742,0.571612903,0.465806452,0.543225806,,0.569032258,0.752258065,0.540645161,0.483870968,0.847741935,0.550967742,0.775483871,0.581935484,0.687741935
0.814193548,0.747096774,0.739354839,0.855483871,0.700645161,0.772903226,0.752258065,0.75483871,0.705806452,0.767741935,0.592258065,0.602580645,0.550967742,0.375483871,0.532903226,0.558709677,0.543225806,0.581935484,0.509677419,0.579354839,,0.638709677,,0.59483871,0.527741935,0.870967742,0.59483871,,0.623225806,0.710967742
0.814193548,0.744516129,0.762580645,0.852903226,0.723870968,0.783225806,0.747096774,,0.698064516,0.767741935,0.563870968,0.623225806,0.501935484,0.372903226,0.532903226,0.512258065,0.52,0.589677419,0.538064516,0.602580645,,0.67483871,,0.618064516,0.571612903,,0.633548387,,0.654193548,0.723870968
0.814193548,0.744516129,,0.852903226,,,0.747096774,,0.698064516,0.76516129,0.509677419,0.623225806,0.460645161,0.372903226,0.52516129,0.465806452,0.496774194,0.579354839,0.561290323,0.620645161,,0.705806452,,0.649032258,0.60516129,,0.664516129,,0.695483871,
0.829677419,0.757419355,,0.852903226,,,0.739354839,,0.698064516,0.76516129,0.450322581,0.623225806,0.419354839,0.35483871,0.509677419,0.427096774,0.473548387,0.571612903,0.566451613,0.628387097,,0.739354839,,0.687741935,0.625806452,,0.690322581,,0.741935484,
0.84516129,0.775483871,,0.827096774,,,0.739354839,,0.698064516,0.76516129,0.406451613,0.60516129,0.393548387,0.339354839,0.478709677,0.411612903,0.437419355,0.558709677,0.576774194,0.628387097,,0.76,,0.721290323,0.651612903,,0.721290323,,0.788387097,
0.858064516,0.809032258,,0.837419355,,,0.747096774,,0.698064516,0.767741935,0.375483871,0.569032258,0.36,0.331612903,0.44516129,0.388387097,0.352258065,0.527741935,0.576774194,0.628387097,,,,0.772903226,0.68516129,,0.747096774,,,
0.878709677,,,0.84516129,,,0.752258065,,0.708387097,0.775483871,0.349677419,0.52,0.334193548,,0.409032258,0.375483871,0.344516129,0.481290323,0.569032258,0.625806452,,,,0.809032258,0.721290323,,0.762580645,,,
,,,0.84516129,,,0.770322581,,0.718709677,0.788387097,0.341935484,0.452903226,0.326451613,,0.383225806,0.352258065,0.308387097,0.442580645,0.553548387,0.602580645,,,,0.837419355,0.736774194,,0.785806452,,,
,,,0.847741935,,,,,0.726451613,0.803870968,0.341935484,0.393548387,0.326451613,,0.357419355,,0.305806452,0.403870968,0.51483871,0.579354839,,,,,,,,,,
,,,0.868387097,,,,,0.736774194,,,0.380645161,0.336774194,,0.344516129,,0.305806452,0.383225806,0.473548387,0.553548387,,,,,,,,,,
,,,0.891612903,,,,,,,,0.36,0.347096774,,0.313548387,,,0.362580645,0.427096774,0.509677419,,,,,,,,,,
,,,,,,,,,,,0.35483871,,,0.313548387,,,0.347096774,0.378064516,0.452903226,,,,,,,,,,
,,,,,,,,,,,0.35483871,,,,,,0.344516129,0.339354839,0.406451613,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.341935484,0.318709677,0.385806452,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.310967742,0.370322581,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.362580645,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.352258065,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.352258065,,,,,,,,,,
